"","neigh","price"
"1791","Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",72
"1801","Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",89
"1811","Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",244.8
"1821","Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",68
"1831","Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",260
"1841","Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",109
"1851","Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",63
"1861","Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",129
"1871","Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",146
"1881","Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",44
"1891","Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",179
"1901","Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",39
"1911","Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",129
"1921","Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",45
"1931","Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",39
"1941","Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",129
"1951","Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",85
"1961","Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",129
"1971","Torino - 14 - Lucento, Vallette",99
"1981","Torino - 14 - Lucento, Vallette",139
"1991","Torino - 14 - Lucento, Vallette",175
"2001","Torino - 14 - Lucento, Vallette",139
"2011","Torino - 14 - Lucento, Vallette",79
"2021","Torino - 14 - Lucento, Vallette",49
"2031","Torino - 14 - Lucento, Vallette",129
"2041","Torino - 14 - Lucento, Vallette",129
"2051","Torino - 14 - Lucento, Vallette",169
"2061","Torino - 14 - Lucento, Vallette",47
"2071","Torino - 14 - Lucento, Vallette",49
"2081","Torino - 14 - Lucento, Vallette",169
"2091","Torino - 14 - Lucento, Vallette",120
"2101","Torino - 14 - Lucento, Vallette",55
"2111","Torino - 14 - Lucento, Vallette",169
"2121","Torino - 15 - Parella, Pozzo Strada",260
"2131","Torino - 15 - Parella, Pozzo Strada",119
"2141","Torino - 15 - Parella, Pozzo Strada",410
"2151","Torino - 15 - Parella, Pozzo Strada",290
"2161","Torino - 15 - Parella, Pozzo Strada",119
"2171","Torino - 15 - Parella, Pozzo Strada",350
"2181","Torino - 15 - Parella, Pozzo Strada",179
"2191","Torino - 15 - Parella, Pozzo Strada",139
"2201","Torino - 15 - Parella, Pozzo Strada",299
"2211","Torino - 15 - Parella, Pozzo Strada",179
"2221","Torino - 15 - Parella, Pozzo Strada",259
"2231","Torino - 15 - Parella, Pozzo Strada",149
"2241","Torino - 15 - Parella, Pozzo Strada",93
"2251","Torino - 15 - Parella, Pozzo Strada",134
"2261","Torino - 15 - Parella, Pozzo Strada",144
"2271","Torino - 16 - Mirafiori",197
"2281","Torino - 16 - Mirafiori",110
"2291","Torino - 16 - Mirafiori",205
"2301","Torino - 16 - Mirafiori",188
