,city,Areas,neighborhood,estateprice
284,T,Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto,"Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",49
285,T,Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto,"Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",119
286,T,Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto,"Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",197
287,T,Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto,"Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",49
288,T,Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto,"Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",245.25
289,T,Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto,"Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",48
290,T,Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto,"Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",79.5
291,T,Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto,"Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",72
292,T,Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto,"Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",89
293,T,Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto,"Torino - 12 - Barriera Milano, Falchera, Barca-Bertola",244.8
294,T,Borgo Vittoria - Madonna di Campagna - Lucento - Vallette,"Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",68
295,T,Borgo Vittoria - Madonna di Campagna - Lucento - Vallette,"Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",260
296,T,Borgo Vittoria - Madonna di Campagna - Lucento - Vallette,"Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",109
297,T,Borgo Vittoria - Madonna di Campagna - Lucento - Vallette,"Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",63
298,T,Borgo Vittoria - Madonna di Campagna - Lucento - Vallette,"Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",129
299,T,Borgo Vittoria - Madonna di Campagna - Lucento - Vallette,"Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",146
300,T,Borgo Vittoria - Madonna di Campagna - Lucento - Vallette,"Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",44
301,T,Borgo Vittoria - Madonna di Campagna - Lucento - Vallette,"Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",179
302,T,Borgo Vittoria - Madonna di Campagna - Lucento - Vallette,"Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",39
303,T,Borgo Vittoria - Madonna di Campagna - Lucento - Vallette,"Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",129
304,T,Borgo Vittoria - Madonna di Campagna - Lucento - Vallette,"Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",45
305,T,Borgo Vittoria - Madonna di Campagna - Lucento - Vallette,"Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",39
306,T,Borgo Vittoria - Madonna di Campagna - Lucento - Vallette,"Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",129
307,T,Borgo Vittoria - Madonna di Campagna - Lucento - Vallette,"Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",85
308,T,Borgo Vittoria - Madonna di Campagna - Lucento - Vallette,"Torino - 13 - Madonna di Campagna, Borgo Vittoria, ...",129
309,T,Borgo Vittoria - Madonna di Campagna - Lucento - Vallette,"Torino - 14 - Lucento, Vallette",99
310,T,Borgo Vittoria - Madonna di Campagna - Lucento - Vallette,"Torino - 14 - Lucento, Vallette",139
